protocol,scenario,run,file_size_bytes,time_seconds,throughput_mbps,retransmissions,packets_sent,acks_received,total_packets
TCP,A,1,5242880,0.981177,42.747676,0,5120,0,5120
TCP,B,1,5242880,32.401776,1.294467,0,5120,0,5120
TCP,C,1,5242880,107.445094,0.390367,0,5120,0,5120
RUDP,A,1,5242880,6.877952,6.098187,0,5120,5120,5120
RUDP,B,1,5242880,329.97055,0.127111,2214,7334,5120,5120
RUDP,C,1,5242880,633.792222,0.066178,4343,9463,5120,5120
TCP,A,1,5242880,0.790536,53.056447,0,5120,0,5120
TCP,A,2,5242880,0.719868,58.264928,0,5120,0,5120
TCP,A,3,5242880,0.293341,142.983938,0,5120,0,5120
TCP,A,4,5242880,0.883158,47.492102,0,5120,0,5120
TCP,A,5,5242880,0.96669,43.388291,0,5120,0,5120
TCP,A,6,5242880,1.008338,41.596192,0,5120,0,5120
TCP,A,7,5242880,0.976462,42.954109,0,5120,0,5120
TCP,A,8,5242880,0.990532,42.343946,0,5120,0,5120
TCP,A,9,5242880,0.795399,52.732079,0,5120,0,5120
TCP,A,10,5242880,0.929329,45.13261,0,5120,0,5120
TCP,B,1,5242880,26.300195,1.594781,0,5120,0,5120
TCP,B,2,5242880,33.132457,1.26592,0,5120,0,5120
TCP,B,3,5242880,34.599527,1.212243,0,5120,0,5120
TCP,B,4,5242880,29.290477,1.431968,0,5120,0,5120
TCP,B,5,5242880,35.156646,1.193033,0,5120,0,5120
TCP,B,6,5242880,32.711417,1.282214,0,5120,0,5120
TCP,B,7,5242880,28.853241,1.453668,0,5120,0,5120
TCP,B,8,5242880,30.381438,1.380548,0,5120,0,5120
TCP,B,9,5242880,32.8824,1.275547,0,5120,0,5120
TCP,B,10,5242880,30.548689,1.37299,0,5120,0,5120
TCP,C,1,5242880,118.147168,0.355007,0,5120,0,5120
TCP,C,2,5242880,118.19781,0.354855,0,5120,0,5120
TCP,C,3,5242880,109.938946,0.381512,0,5120,0,5120
TCP,C,4,5242880,105.605927,0.397166,0,5120,0,5120
TCP,C,5,5242880,135.64156,0.30922,0,5120,0,5120
TCP,C,6,5242880,110.692978,0.378913,0,5120,0,5120
TCP,C,7,5242880,106.654156,0.393262,0,5120,0,5120
TCP,C,8,5242880,113.450617,0.369703,0,5120,0,5120
TCP,C,9,5242880,116.136883,0.361152,0,5120,0,5120
TCP,C,10,5242880,112.33362,0.373379,0,5120,0,5120
RUDP,A,1,5242880,6.829705,6.141267,0,5120,5120,5120
RUDP,A,2,5242880,6.83081,6.140273,0,5120,5120,5120
RUDP,A,3,5242880,6.830225,6.1408,0,5120,5120,5120
RUDP,A,4,5242880,6.828293,6.142536,0,5120,5120,5120
RUDP,A,5,5242880,6.849996,6.123075,0,5120,5120,5120
RUDP,A,6,5242880,6.834816,6.136675,0,5120,5120,5120
RUDP,A,7,5242880,6.836194,6.135438,0,5120,5120,5120
RUDP,A,8,5242880,6.85145,6.121776,0,5120,5120,5120
RUDP,A,9,5242880,6.849932,6.123132,0,5120,5120,5120
RUDP,A,10,5242880,6.822006,6.148198,0,5120,5120,5120
RUDP,B,1,5242880,296.956558,0.141243,1968,7088,5120,5120
RUDP,B,2,5242880,334.282919,0.125472,2240,7360,5120,5120
RUDP,B,3,5242880,299.743913,0.13993,1984,7104,5120,5120
RUDP,B,4,5242880,318.663439,0.131622,2128,7248,5120,5120
RUDP,B,5,5242880,339.352224,0.123597,2280,7400,5120,5120
RUDP,B,6,5242880,313.576326,0.133757,2088,7208,5120,5120
RUDP,B,7,5242880,340.569983,0.123155,2286,7406,5120,5120
RUDP,B,8,5242880,305.717704,0.137195,2032,7152,5120,5120
RUDP,B,9,5242880,346.03177,0.121212,2326,7446,5120,5120
RUDP,B,10,5242880,336.132176,0.124781,2256,7376,5120,5120
RUDP,C,1,5242880,660.740949,0.063479,4542,9662,5120,5120
RUDP,C,2,5242880,623.297111,0.067292,4254,9374,5120,5120
RUDP,C,3,5242880,678.227502,0.061842,4680,9800,5120,5120
RUDP,C,4,5242880,653.039929,0.064227,4486,9606,5120,5120
RUDP,C,5,5242880,688.878277,0.060886,4768,9888,5120,5120
RUDP,C,6,5242880,684.028398,0.061318,4720,9840,5120,5120
RUDP,C,7,5242880,680.413758,0.061643,4696,9816,5120,5120
RUDP,C,8,5242880,680.658293,0.061621,4676,9796,5120,5120
RUDP,C,9,5242880,620.745738,0.067569,4232,9352,5120,5120
RUDP,C,10,5242880,664.160555,0.063152,4561,9681,5120,5120
